LAST SEEN   TYPE      REASON                    OBJECT                                            MESSAGE
29h         Normal    EnsuringLoadBalancer      service/employee-deatils-service                  Ensuring load balancer
29h         Warning   SyncLoadBalancerFailed    service/employee-deatils-service                  Error syncing load balancer: failed to ensure load balancer: no node tags supplied and also failed to parse the given lists of hosts for tags. Abort creating firewall rule
29h         Normal    Scheduled                 pod/nginx                                         Successfully assigned default/nginx to workervm-centos
29h         Normal    SuccessfulAttachVolume    pod/nginx                                         AttachVolume.Attach succeeded for volume "mysql-pv-gce-volume"
29h         Normal    Pulling                   pod/nginx                                         Pulling image "nginx:latest"
29h         Normal    Created                   pod/nginx                                         Created container nginx
29h         Normal    Started                   pod/nginx                                         Started container nginx
29h         Normal    Pulled                    pod/nginx                                         Successfully pulled image "nginx:latest" in 743.924412ms
29h         Normal    DeletedLoadBalancer       service/employee-deatils-service                  Deleted load balancer
29h         Normal    Killing                   pod/mysql-deploy-77cd4647f9-6x7sv                 Stopping container mysql
29h         Normal    Killing                   pod/employee-deployment-94fd8c7cb-gxlxm           Stopping container kubernetes-secret
29h         Normal    Killing                   pod/employee-deployment-94fd8c7cb-k7ghs           Stopping container kubernetes-secret
29h         Normal    Killing                   pod/nginx                                         Stopping container nginx
28h         Normal    ScalingReplicaSet         deployment/mysql-deploy                           Scaled up replica set mysql-deploy-84bc6656f8 to 1
28h         Normal    SuccessfulCreate          replicaset/mysql-deploy-84bc6656f8                Created pod: mysql-deploy-84bc6656f8-cmc68
28h         Normal    Scheduled                 pod/mysql-deploy-84bc6656f8-cmc68                 Successfully assigned default/mysql-deploy-84bc6656f8-cmc68 to workervm-centos
28h         Normal    SuccessfulAttachVolume    pod/mysql-deploy-84bc6656f8-cmc68                 AttachVolume.Attach succeeded for volume "mysql-pv-gce-volume"
28h         Normal    Pulled                    pod/mysql-deploy-84bc6656f8-cmc68                 Container image "mysql:5.7" already present on machine
28h         Normal    Created                   pod/mysql-deploy-84bc6656f8-cmc68                 Created container mysql
28h         Normal    Started                   pod/mysql-deploy-84bc6656f8-cmc68                 Started container mysql
28h         Normal    SuccessfulCreate          replicaset/employee-deployment-94fd8c7cb          Created pod: employee-deployment-94fd8c7cb-dvkgj
28h         Normal    Scheduled                 pod/employee-deployment-94fd8c7cb-65j59           Successfully assigned default/employee-deployment-94fd8c7cb-65j59 to workervm-centos
28h         Normal    Scheduled                 pod/employee-deployment-94fd8c7cb-dvkgj           Successfully assigned default/employee-deployment-94fd8c7cb-dvkgj to workervm-centos-2
28h         Normal    SuccessfulCreate          replicaset/employee-deployment-94fd8c7cb          Created pod: employee-deployment-94fd8c7cb-65j59
28h         Normal    ScalingReplicaSet         deployment/employee-deployment                    Scaled up replica set employee-deployment-94fd8c7cb to 2
28h         Normal    Pulling                   pod/employee-deployment-94fd8c7cb-65j59           Pulling image "eshghos/kubernetes-secret:latest"
28h         Normal    Pulling                   pod/employee-deployment-94fd8c7cb-dvkgj           Pulling image "eshghos/kubernetes-secret:latest"
28h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-dvkgj           Successfully pulled image "eshghos/kubernetes-secret:latest" in 601.3544ms
28h         Normal    Created                   pod/employee-deployment-94fd8c7cb-dvkgj           Created container kubernetes-secret
28h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-65j59           Successfully pulled image "eshghos/kubernetes-secret:latest" in 501.136621ms
28h         Normal    Created                   pod/employee-deployment-94fd8c7cb-65j59           Created container kubernetes-secret
28h         Normal    Started                   pod/employee-deployment-94fd8c7cb-dvkgj           Started container kubernetes-secret
28h         Normal    Started                   pod/employee-deployment-94fd8c7cb-65j59           Started container kubernetes-secret
28h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-65j59           Successfully pulled image "eshghos/kubernetes-secret:latest" in 547.056164ms
28h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-dvkgj           Successfully pulled image "eshghos/kubernetes-secret:latest" in 466.268588ms
28h         Warning   BackOff                   pod/employee-deployment-94fd8c7cb-65j59           Back-off restarting failed container
28h         Warning   BackOff                   pod/employee-deployment-94fd8c7cb-dvkgj           Back-off restarting failed container
28h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-65j59           Successfully pulled image "eshghos/kubernetes-secret:latest" in 475.131071ms
28h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-dvkgj           Successfully pulled image "eshghos/kubernetes-secret:latest" in 510.487765ms
28h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-65j59           Successfully pulled image "eshghos/kubernetes-secret:latest" in 821.398438ms
28h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-dvkgj           Successfully pulled image "eshghos/kubernetes-secret:latest" in 512.289967ms
28h         Normal    Killing                   pod/employee-deployment-94fd8c7cb-dvkgj           Stopping container kubernetes-secret
28h         Normal    Killing                   pod/employee-deployment-94fd8c7cb-65j59           Stopping container kubernetes-secret
28h         Normal    SuccessfulCreate          replicaset/employee-deployment-94fd8c7cb          Created pod: employee-deployment-94fd8c7cb-ggh8l
28h         Normal    SuccessfulCreate          replicaset/employee-deployment-94fd8c7cb          Created pod: employee-deployment-94fd8c7cb-l59q8
28h         Normal    ScalingReplicaSet         deployment/employee-deployment                    Scaled up replica set employee-deployment-94fd8c7cb to 2
28h         Normal    Scheduled                 pod/employee-deployment-94fd8c7cb-l59q8           Successfully assigned default/employee-deployment-94fd8c7cb-l59q8 to workervm-centos-2
28h         Normal    Scheduled                 pod/employee-deployment-94fd8c7cb-ggh8l           Successfully assigned default/employee-deployment-94fd8c7cb-ggh8l to workervm-centos
28h         Normal    Pulling                   pod/employee-deployment-94fd8c7cb-l59q8           Pulling image "eshghos/kubernetes-secret:latest"
28h         Normal    Pulling                   pod/employee-deployment-94fd8c7cb-ggh8l           Pulling image "eshghos/kubernetes-secret:latest"
28h         Normal    Started                   pod/employee-deployment-94fd8c7cb-l59q8           Started container kubernetes-secret
28h         Normal    Created                   pod/employee-deployment-94fd8c7cb-l59q8           Created container kubernetes-secret
28h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-l59q8           Successfully pulled image "eshghos/kubernetes-secret:latest" in 671.081939ms
28h         Normal    Pulled                    pod/employee-deployment-94fd8c7cb-ggh8l           Successfully pulled image "eshghos/kubernetes-secret:latest" in 618.081989ms
28h         Normal    Started                   pod/employee-deployment-94fd8c7cb-ggh8l           Started container kubernetes-secret
28h         Normal    Created                   pod/employee-deployment-94fd8c7cb-ggh8l           Created container kubernetes-secret
28h         Normal    Starting                  node/mastervm-centos                              Starting kubelet.
28h         Normal    Starting                  node/workervm-centos-2                            Starting kubelet.
28h         Normal    NodeHasNoDiskPressure     node/workervm-centos-2                            Node workervm-centos-2 status is now: NodeHasNoDiskPressure
28h         Normal    NodeHasSufficientPID      node/workervm-centos-2                            Node workervm-centos-2 status is now: NodeHasSufficientPID
28h         Normal    NodeHasNoDiskPressure     node/mastervm-centos                              Node mastervm-centos status is now: NodeHasNoDiskPressure
28h         Normal    NodeHasSufficientMemory   node/mastervm-centos                              Node mastervm-centos status is now: NodeHasSufficientMemory
28h         Normal    NodeHasSufficientMemory   node/workervm-centos-2                            Node workervm-centos-2 status is now: NodeHasSufficientMemory
28h         Normal    NodeHasSufficientPID      node/mastervm-centos                              Node mastervm-centos status is now: NodeHasSufficientPID
28h         Normal    NodeAllocatableEnforced   node/workervm-centos-2                            Updated Node Allocatable limit across pods
28h         Normal    NodeAllocatableEnforced   node/mastervm-centos                              Updated Node Allocatable limit across pods
28h         Normal    NodeHasSufficientMemory   node/workervm-centos                              Node workervm-centos status is now: NodeHasSufficientMemory
28h         Normal    NodeHasNoDiskPressure     node/workervm-centos                              Node workervm-centos status is now: NodeHasNoDiskPressure
28h         Normal    NodeHasSufficientPID      node/workervm-centos                              Node workervm-centos status is now: NodeHasSufficientPID
28h         Normal    NodeAllocatableEnforced   node/workervm-centos                              Updated Node Allocatable limit across pods
28h         Normal    Starting                  node/workervm-centos                              Starting kubelet.
28h         Normal    SandboxChanged            pod/employee-salary-deployment-79f69bf76f-zjzfb   Pod sandbox changed, it will be killed and re-created.
28h         Normal    SandboxChanged            pod/employee-deployment-94fd8c7cb-l59q8           Pod sandbox changed, it will be killed and re-created.
28h         Normal    SandboxChanged            pod/employee-salary-deployment-79f69bf76f-sn4ps   Pod sandbox changed, it will be killed and re-created.
28h         Normal    SandboxChanged            pod/employee-deployment-94fd8c7cb-ggh8l           Pod sandbox changed, it will be killed and re-created.
28h         Normal    Starting                  node/mastervm-centos                              Starting kube-proxy.
28h         Normal    SandboxChanged            pod/mysql-deploy-84bc6656f8-cmc68                 Pod sandbox changed, it will be killed and re-created.
28h         Normal    Starting                  node/workervm-centos                              Starting kube-proxy.
28h         Normal    RegisteredNode            node/mastervm-centos                              Node mastervm-centos event: Registered Node mastervm-centos in Controller
